1,B
1,B
1,C
1,C
1,B
1,D
1,B
1,A
1,C
1,B
1,C
1,B
1,D
1,C
1,C
1,B
1,B
1,A
1,A
1,B
1,A
,
1,C
1,B
1,A
1,B
1,B
1,D
1,B
1,C
1,B
1,B
1,A
1,B
1,C
1,A
1,B
1,A
1,A
1,C
1,C
1,B
1,C
1,C
1,A
1,A
1,C
1,C
1,B
1,A
1,B
1,A
1,B
1,C
1,A
,
1,C
1,A
1,B
1,A
,
1,C
1,A
1,C
1,B
,
1,C
1,B
1,A
1,B
,
1,C
1,B
1,A
1,B
1,C
1,B
1,B
4,"A,B,C,D"
1,A
1,B
1,C
4,"A,B,C,D"
1,C
1,A
1,B
1,C
1,A
1,B
,
1,C
1,B
1,C
1,C
,
,
1,B
1,C
1,C
,
1,C
1,C
1,C
1,B
1,C
1,B
1,C
1,A
1,B
1,C
1,B
1,C
1,B
1,A
1,C
1,B
1,C
1,A
1,A
1,C
1,B
1,C
1,B
1,C
1,B
1,B
1,B
1,C
1,C
1,B
1,A
1,B
1,C
1,A
1,B
1,A
,
1,C
1,A
1,B
1,A
1,B
1,D
1,A
1,B
1,B
1,B
1,C
1,A
1,B
1,B
,
1,A
1,B
1,A
1,B
1,B
1,C
1,A
1,C
1,A
1,B
1,D
1,A
1,C
1,B
1,A
1,D
1,C
1,B
1,C
1,A
1,C
1,A
1,C
1,B
1,B
1,A
1,C
1,D
1,C
1,C
1,D
1,A
1,C
1,B
1,A
1,B
1,C
1,A
1,D
1,B
1,B
1,C
1,C
1,A
1,C
1,B
1,A
1,A
1,C
1,B
1,A
1,C
1,C
1,B
1,A
1,D
1,B
1,C
1,A
1,B
1,B
1,D
1,C
1,C
1,A
1,C
1,A
1,C
1,C
1,B
1,B
1,C
1,A
1,B
1,D
1,A
1,D
1,B
1,B
1,C
1,A
1,A
1,C
1,C
1,A
1,B
1,A
1,C
1,C
1,B
1,D
1,D
1,A
1,C
1,B
1,D
1,D
1,A
1,B
1,A
1,B
1,C
1,B
1,B
1,B
1,A
1,B
1,C
1,C
1,D
1,C
1,B
1,A
1,C
1,A
1,D
1,A
1,B
1,C
1,A
1,B
1,A
1,C
1,B
1,C
1,D
1,C
1,A
1,B
1,B
1,C
1,A
1,A
1,C
1,B
1,A
1,A
,
1,A
1,B
1,C
1,B
1,D
1,C
1,D
1,A
1,A
1,C
1,A
1,B
1,A
1,C
1,A
1,A
1,B
1,A
1,C
1,C
1,D
1,C
1,C
1,B
1,B
1,A
1,D
1,C
1,B
1,C
1,C
1,A
1,B
1,D
1,D
1,C
1,B
1,A
1,A
1,B
1,C
1,B
1,A
1,D
1,A
1,B
1,C
1,A
1,D
1,B
1,B
1,C
1,A
1,B
1,A
1,B
1,C
1,A
1,A
